   0.00000000      0.994615316       1.00000000       1.00000000       0.00000000      -1.00000000      -0.00000000    
   9.99999978E-03   1.00465906       1.01005018       1.00000000       9.99999978E-03 -0.999800026      -2.99960002E-02
   1.99999996E-02   1.01481259       1.02020133       1.00000000       1.99999996E-02 -0.999199986      -5.99679984E-02
   2.99999993E-02   1.02507675       1.03045452       1.00000000       2.99999993E-02 -0.998199999      -8.98920000E-02
   3.99999991E-02   1.03545260       1.04081082       1.00000000       3.99999991E-02 -0.996800005     -0.119743995    
   4.99999970E-02   1.04594123       1.05127108       1.00000000       4.99999970E-02 -0.995000005     -0.149499983    
   5.99999949E-02   1.05654359       1.06183660       1.00000000       5.99999949E-02 -0.992799997     -0.179135978    
   6.99999928E-02   1.06726110       1.07250822       1.00000000       6.99999928E-02 -0.990199983     -0.208627969    
   7.99999908E-02   1.07809424       1.08328700       1.00000000       7.99999908E-02 -0.987200022     -0.237951964    
   8.99999887E-02   1.08904457       1.09417427       1.00000000       8.99999887E-02 -0.983799994     -0.267083973    
   9.99999866E-02   1.10011292       1.10517085       1.00000000       9.99999866E-02 -0.980000019     -0.295999974    
  0.109999985       1.11130035       1.11627805       1.00000000      0.109999985     -0.975800037     -0.324675977    
  0.119999982       1.12260783       1.12749684       1.00000000      0.119999982     -0.971199989     -0.353087932    
  0.129999980       1.13403666       1.13882840       1.00000000      0.129999980     -0.966199994     -0.381211936    
  0.139999986       1.14558756       1.15027380       1.00000000      0.139999986     -0.960799992     -0.409023970    
  0.149999991       1.15726185       1.16183424       1.00000000      0.149999991     -0.954999983     -0.436499953    
  0.159999996       1.16906047       1.17351091       1.00000000      0.159999996     -0.948800027     -0.463615984    
  0.170000002       1.18098462       1.18530488       1.00000000      0.170000002     -0.942200005     -0.490347981    
  0.180000007       1.19303501       1.19721735       1.00000000      0.180000007     -0.935199976     -0.516672015    
  0.190000013       1.20521307       1.20924962       1.00000000      0.190000013     -0.927800000     -0.542564034    
  0.200000018       1.21751952       1.22140276       1.00000000      0.200000018     -0.919999957     -0.568000078    
  0.210000023       1.22995555       1.23367810       1.00000000      0.210000023     -0.911799967     -0.592956066    
  0.220000029       1.24252248       1.24607682       1.00000000      0.220000029     -0.903199971     -0.617408037    
  0.230000034       1.25522089       1.25860000       1.00000000      0.230000034     -0.894199967     -0.641332090    
  0.240000039       1.26805222       1.27124918       1.00000000      0.240000039     -0.884799957     -0.664704084    
  0.250000030       1.28101718       1.28402543       1.00000000      0.250000030     -0.875000000     -0.687500119    
  0.260000020       1.29411721       1.29693007       1.00000000      0.260000020     -0.864799976     -0.709696054    
  0.270000011       1.30735290       1.30996442       1.00000000      0.270000011     -0.854200006     -0.731268048    
  0.280000001       1.32072568       1.32312977       1.00000000      0.280000001     -0.843199968     -0.752192020    
  0.289999992       1.33423650       1.33642745       1.00000000      0.289999992     -0.831799984     -0.772444010    
  0.299999982       1.34788620       1.34985876       1.00000000      0.299999982     -0.820000052     -0.791999996    
  0.309999973       1.36167622       1.36342514       1.00000000      0.309999973     -0.807800055     -0.810835958    
  0.319999963       1.37560725       1.37712777       1.00000000      0.319999963     -0.795200050     -0.828927994    
  0.329999954       1.38968050       1.39096808       1.00000000      0.329999954     -0.782200098     -0.846251965    
  0.339999944       1.40389717       1.40494752       1.00000000      0.339999944     -0.768800080     -0.862783909    
  0.349999934       1.41825807       1.41906750       1.00000000      0.349999934     -0.755000114     -0.878499866    
  0.359999925       1.43276441       1.43332934       1.00000000      0.359999925     -0.740800142     -0.893375874    
  0.369999915       1.44741690       1.44773448       1.00000000      0.369999915     -0.726200104     -0.907387853    
  0.379999906       1.46221721       1.46228445       1.00000000      0.379999906     -0.711200118     -0.920511842    
  0.389999896       1.47716582       1.47698069       1.00000000      0.389999896     -0.695800185     -0.932723880    
  0.399999887       1.49226403       1.49182451       1.00000000      0.399999887     -0.680000186     -0.943999887    
  0.409999877       1.50751293       1.50681758       1.00000000      0.409999877     -0.663800240     -0.954315901    
  0.419999868       1.52291334       1.52196133       1.00000000      0.419999868     -0.647200227     -0.963647842    
  0.429999858       1.53846669       1.53725731       1.00000000      0.429999858     -0.630200267     -0.971971869    
  0.439999849       1.55417371       1.55270696       1.00000000      0.439999849     -0.612800241     -0.979263902    
  0.449999839       1.57003546       1.56831193       1.00000000      0.449999839     -0.595000267     -0.985499859    
  0.459999830       1.58605313       1.58407366       1.00000000      0.459999830     -0.576800346     -0.990655899    
  0.469999820       1.60222781       1.59999394       1.00000000      0.469999820     -0.558200359     -0.994707942    
  0.479999810       1.61856055       1.61607409       1.00000000      0.479999810     -0.539200366     -0.997631907    
  0.489999801       1.63505220       1.63231587       1.00000000      0.489999801     -0.519800425     -0.999403954    
  0.499999791       1.65170383       1.64872098       1.00000000      0.499999791     -0.500000417      -1.00000000    
  0.509999812       1.66851687       1.66529083       1.00000000      0.509999812     -0.479800403     -0.999396086    
  0.519999802       1.68549192       1.68202734       1.00000000      0.519999802     -0.459200382     -0.997568011    
  0.529999793       1.70263028       1.69893193       1.00000000      0.529999793     -0.438200414     -0.994492054    
  0.539999783       1.71993291       1.71600652       1.00000000      0.539999783     -0.416800439     -0.990144074    
  0.549999774       1.73740077       1.73325264       1.00000000      0.549999774     -0.395000517     -0.984500170    
  0.559999764       1.75503504       1.75067210       1.00000000      0.559999764     -0.372800529     -0.977536201    
  0.569999754       1.77283680       1.76826656       1.00000000      0.569999754     -0.350200534     -0.969228148    
  0.579999745       1.79080701       1.78603792       1.00000000      0.579999745     -0.327200592     -0.959552288    
